Timestamp,Timestamp (ms),accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,strain,analog_0,analog_1,current,enc-disp,enc-cont,enc-comm,VB,VG,Temp,Status1,Status2
Mon Sep 26 15:14:39 2016,1776,-984,4140,8380,-1145,-7957,-1835,12036,1004,927,448,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1786,-2158,4462,7964,-1327,-8433,-1754,12016,1004,925,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1797,-3140,4394,7424,-1751,-8987,-1698,12109,1005,927,454,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1806,-3516,3896,7150,-1979,-9374,-1641,12081,1005,925,446,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1817,-3440,3634,6058,-1988,-9744,-1454,12142,1007,927,435,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1826,-3860,3948,6396,-1784,-10016,-1354,12126,1008,930,443,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1837,-3636,3010,5904,-943,-9668,-1149,12054,1007,927,445,0,0,0,199,206,134,2,1
Mon Sep 26 15:14:39 2016,1847,-3996,2464,4238,-356,-9602,-815,12098,1007,929,435,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1857,-5524,3340,6236,674,-9418,-256,12095,1008,930,450,0,0,0,199,206,134,2,1
Mon Sep 26 15:14:39 2016,1867,-7102,4040,7062,1152,-9503,269,12148,1009,932,430,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1876,-7568,4610,7632,1405,-9844,1101,12118,1010,935,442,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1887,-8130,4528,7592,1343,-9982,1649,12094,1011,938,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1897,-8624,3922,7248,1352,-10149,2502,12192,1010,939,458,0,0,0,199,206,134,2,1
Mon Sep 26 15:14:39 2016,1907,-8890,3486,7372,1362,-10188,3050,12055,1012,941,434,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1917,-9922,3396,7050,1527,-9964,3796,12084,1013,945,455,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1927,-9212,2230,8444,1397,-9865,4280,12324,1019,945,430,0,0,0,199,206,134,2,1
Mon Sep 26 15:14:40 2016,1936,-10502,1622,8430,1486,-9879,4649,12017,1014,944,444,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,1947,-10506,1830,9320,1378,-9946,4711,13268,1022,948,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,1957,-10502,1646,9400,1043,-9868,4630,12109,1014,945,436,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,1967,-10504,1226,9198,888,-9731,4485,12047,1014,944,431,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,1976,-10306,1130,9120,829,-9358,4235,12024,1014,942,447,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,1987,-10268,1054,9074,873,-9024,3975,12066,1014,943,427,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,1997,-10418,1354,9326,957,-8478,3545,11985,1014,944,432,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2006,-11864,1806,10606,1018,-8232,3257,11984,1015,945,444,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2017,-13016,1840,11872,1284,-8204,2927,12192,1014,946,456,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2026,-13748,3042,13594,1405,-8460,2703,12005,1013,943,447,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2037,-14768,3336,13920,1547,-8992,2344,11982,1013,942,430,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2047,-14018,2966,12320,1699,-9395,2170,12087,1014,942,430,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2056,-13742,244,9380,2628,-9619,2375,12022,1015,942,451,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2067,-13236,-476,5046,3514,-9273,2497,12108,1016,941,443,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2077,-14832,-798,3570,4319,-8379,2499,12213,1016,942,437,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2087,-17910,-1668,636,4519,-7978,2409,12036,1016,942,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:40 2016,2096,-18480,-3130,-3564,4522,-7646,2348,12013,1016,944,441,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:40 2016,2106,-18706,-4534,-10624,4214,-6195,2273,12059,1017,947,455,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2116,-18686,-4630,-13166,3436,-4506,1986,12083,1019,950,442,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2127,-18608,-2576,-13352,1047,-1406,1012,12176,1019,953,442,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2136,-17918,-2312,-11026,-1261,705,-5,12083,1021,954,450,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2146,-19840,-2744,-6340,-4136,2949,-1232,12072,1021,956,445,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2156,-17966,-3356,-2844,-5103,3759,-1874,12076,1022,957,438,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2167,-15208,-3082,-1992,-4935,4582,-1681,12062,1022,958,441,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2176,-13214,-1842,-940,-4528,5301,-1282,12052,1023,959,457,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2187,-12638,-532,1294,-4312,6570,-636,11984,1022,960,427,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2197,12232,-4220,10404,-4118,7615,-170,11984,1022,961,433,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2207,6560,4616,10276,-3756,8555,-794,11978,1018,957,430,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:40 2016,2217,15100,-4424,-7434,-4110,12915,-2521,11943,1019,966,438,0,0,0,199,206,131,2,1
